id,organizattionName,category,postedBy,createdTime,message,likesCount,commentsCount,shareCount
147207215344994_852751648123877,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-05-01T16:27:53+0000,"Canara Bank,Shanthi Sagar and surrounding of Sony World junction,  electrical wires are hanging, road users are requested to take caution.",162,16,56
147207215344994_852550721477303,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-05-01T02:57:35+0000,"GOOD MORNING.SAFE DRIVE IS THE BEST DRIVE,SAFE DRIVE ALLOWS YOU TO BE ALIVE.
ಶುಭೋದಯ ಬೆಂಗಳೂರು. ಸುರಕ್ಷಿತ ಚಾಲನೆ ಅತ್ಯುತ್ತಮ ಚಾಲನೆ,ಸುರಕ್ಷಿತ ಚಾಲನೆಯು ನಿಮ್ಮನ್ನು ಜೀವಂತವಾಗಿರಿಸಲು ಒಂದು ಕಾರಣ.",186,1,43
147207215344994_852297298169312,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-04-30T13:18:40+0000,,331,16,
147207215344994_852283268170715,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-04-30T12:55:10+0000,"Due to rain slow moving traffic at the following places.
St.John road, Kamaraja road Cubbon road, Residency road, Richmond road, JC Road, KH double road, Hosur road, Jayanagara- Nanda theater,Aravind circle,  Yarb nagara. Drive safely",85,2,1
147207215344994_852276044838104,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-04-30T12:33:34+0000,Slow Moving Traffic at Majestic due pedestrians on Rd & at Nayandayalli jn twrds Katriguppe & also on C.V.Raman road towards BHEL crl,35,1,3
147207215344994_852274991504876,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-04-30T12:28:49+0000,Due to water logging slow moving traffic at Sagar Hospital Jn on Banneragatta road.,44,2,6
147207215344994_852248914840817,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-04-30T11:14:22+0000,"Trees uprooted due to rain at the following places
Brunton Rd, Lavalle Road, Halasuru- Gangadhara shetty road, Banaswadi-CMR Road, Koramangala 1st block, Sony world junction Inner ring road, Krupanidhi college Jn-Koramangala, Makkala kuta- Chamarajpet, Movinapura, Aravinda circle-Jayanagara, 5th main, 35th main - Jayanagara and Banashankri bus stop",1315,89,500
147207215344994_852241768174865,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-04-30T10:46:09+0000,"ನಗರದಾದ್ಯಂತ ಜೋರಾಗಿ ಗಾಳಿ ಸಹಿತ ಮಳೆಯಾಗುತ್ತಿದ್ದು, ನಿಮ್ಮ ವಾಹನಗಳನ್ನು ಮರಗಳ ಕೆಳಗೆ ನಿಲ್ಲಿಸಬೇಡಿ.. ರಸ್ತೆಗಳು ಜಾರಬಹುದು ಎಚ್ಚರ !.. ನಿಧಾನವಾಗಿ ವಾಹನ ಚಲಾಯಿಸಿ.. ಸುರಕ್ಷಿತವಾಗಿ ತಲುಪಿ.. ವಾಹನದ ಇಂಡಿಕೆಟರ್ಸ್ ತಪ್ಪದೆ ಬಳಸಿ.. ಯಾವುದೇ ರೀತಿಯ ತುರ್ತು ಸಂಧರ್ಭಗಳಲ್ಲಿ ೧೦೩ - ಸಂಚಾರ ಸಹಾಯವಾಣಿಗೆ ಮಾಹಿತಿ ಕೊಡಿ..
As it is raining with heavy wind in all part of city, Road users are cautioned not to park their vehicle underneath the tree & drive/ride carefully... Watch-out for slippery roads...Use indicators and wipers- WITHOUT FAIL... If any emergency, call 103 -Traffic helpline..",1424,43,308
147207215344994_852229644842744,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-04-30T10:02:16+0000,"Dear Friends, 
Chances of heavy rain/ wind in all part of the Bengaluru city till late night. Do not park your vehicles under the tree. Use wipers & indicators without fail. Plan your journey accordingly. Call 103 - traffic helpline, for assistance. 
Plz report if its raining in your area, it will help other commuters to get alert.",1084,138,422
147207215344994_852225881509787,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-04-30T09:45:32+0000,,37,3,2
147207215344994_852188131513562,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-04-30T07:03:57+0000,,25,3,
147207215344994_852184421513933,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-04-30T06:48:26+0000,,8,1,
147207215344994_852183748180667,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-04-30T06:48:08+0000,,3,5,6
147207215344994_852182991514076,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-04-30T06:42:21+0000,,16,0,
147207215344994_852182781514097,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-04-30T06:41:40+0000,,13,0,
147207215344994_852182758180766,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-04-30T06:41:27+0000,,22,0,
147207215344994_852182711514104,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-04-30T06:41:11+0000,,9,0,
147207215344994_852162391516136,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-04-30T05:13:28+0000,,19,2,
147207215344994_852158408183201,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-04-30T04:56:37+0000,,15,0,
147207215344994_852152128183829,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-04-30T04:28:50+0000,"Normal traffic due to Transport Strike, proper bandobast has been made, for any assistance kindly call 103/100.",67,2,4
147207215344994_852145911517784,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-04-30T04:02:48+0000,,55,0,
147207215344994_852145301517845,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-04-30T04:00:32+0000,,28,0,
147207215344994_852116268187415,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-04-30T02:22:10+0000,"ಶುಭೋದಯ ಗೆಳೆಯರೇ,ಯಾವಾಗಲೂ ಸೀಟ್ ಬೆಲ್ಟ್ ಬಳಿಸಿ .
Good Morning Friends, Always Use Seat belt.",354,6,51
147207215344994_851858744879834,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-04-29T14:05:12+0000,"Message from Dr. M A Saleem,IPS
Additional Commissioner of Police (Traffic), Bengaluru City.
Dear friends,
Today I have taken the charge as Additional Commissioner of Police (Traffic), Bengaluru City. I on behalf of Bengaluru Traffic Police would like to assure that, we will do our best to ensure safe travelling on Bengaluru roads. We seek your whole hearted co- operations in this endeavor. Together we make a difference and make the city safe and more livable.",11826,2260,556
147207215344994_851813481551027,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-04-29T12:19:57+0000,"ENDORSEMENT FROM PULAKESHINAGARA TRAFFIC INSPECTOR ON FB POST: 
Posted By: Deepak Nanwani, A resident of gover road .
Post details: We Residents Of Gover Road cox town Are Suffering Of Cars Coming Up And Down As if this is a main road. Also the speed they drive in its become scary to even have our kids stand outside alone. etc. 
REPLY GIVEN:
Respected Sir,  I have gone through the problem you face I will definitely study situation and ask the sector officer to check the vehicle on that road.
Thank you
POLICE INSPECTOR,
PULAKESHINAGARA TRAFFIC POLICE STATION,
BANGALORE.",44,0,3
147207215344994_851811034884605,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-04-29T12:15:14+0000,"Due to IPL match, AVOID surrounding Chinnaswamy stadium, MG road, Kasturba Rd, Queens Rd, Indian Express crl, St marks Rd, till 9PM.",29,0,6
147207215344994_851808311551544,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-04-29T12:07:53+0000,"IPL T-20 match on TODAY :
TRAFFIC RESTRICTIONS AROUND CHINNASWAMY CRICKET STADIUM:
Parking restriction from 1400 to 2330 hrs:
> Queen's Road between CTO and Queen's circle both side.
> MG Road Anil Kumble Circle to Queen's Circle both side.
> Link road from MG Road to Cubbon Road.
> Raj Bhavan road,T Chowdaiah Road and Race Course Road.
> Central Street both sides.
> Cubbon Road from BRV Circle to Dickenson Road Junction
both sides of the road.
> Cubbon Road Kmaraj Road Jn. to dickenson Road Jn. except BMTC Buses rest all type of vehicles parking banned.
> St. Marks Road from SBI Circle to Ashirvaadam Circle.
> Museum Road from MG Road to St. Marks Road and Residency Road.
> Kasturba Road from Queen's Circle to Hudson Circle and Malya Road from Siddalingaiah circle to RRMR junction.
> Cubbon Park inside King's road, in-front press club and Bala Bhavan NO Parking.
> Queen's Circle to Lavelle road Grant junction.
PARKING ALLOWED IN THE FOLLOWING PLACE:
> St. Joseph Indian High School Ground and UB City.
> KSCA members can park their vehicle in St. Mark Cathedral Church compound and Bowring Institute.
> Shivaji Nagar Bus stand 1st floor parking place.
GATE 1 to 9 is o Queen's Road
GATE 12 to 17 is on Cubbon Road
GATE 18 to 21 is on Link Road.",44,1,2
147207215344994_851793128219729,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-04-29T11:16:21+0000,"Dear Friends,
Action has been taken on this facebook complaint and imposed fine of Rs 400.  For using mobile while riding - Rs 100 and Rs 300 for Reckless driving. Receipt No C/10/1042/257/19, Dated 28.04.2015. 
* Don't share this post any more & let it not be spam our page.",3664,380,414
147207215344994_851789751553400,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-04-29T11:05:23+0000,"We would like to share this appreciation post on Traffic constable dedication in his duty. 
Name : Sri. Venkatesh
            PC No 8779,  Frazer town Traffic PS.",16473,511,
147207215344994_851767774888931,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-04-29T09:32:47+0000,"Dear Friends, 
Chances of drizzling/ raining in all part of the Bengaluru city, till late night. Do not park your vehicles under the tree. Use wipers & indicators without fail. Plan your journey accordingly. Call 103 - traffic helpline, for assistance. 
Plz report if its raining in your area. Will help other commuters to get alert.",490,67,112
147207215344994_851762148222827,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-04-29T09:05:51+0000,"IPL T-20 match on TODAY :
TRAFFIC RESTRICTIONS AROUND CHINNASWAMY CRICKET STADIUM:
Parking restriction from 1400 to 2330 hrs:
> Queen's Road between CTO and Queen's circle both side.
> MG Road Anil Kumble Circle to Queen's Circle both side.
> Link road from MG Road to Cubbon Road.
> Raj Bhavan road,T Chowdaiah Road and Race Course Road.
> Central Street both sides.
> Cubbon Road from BRV Circle to Dickenson Road Junction
both sides of the road.
> Cubbon Road Kmaraj Road Jn. to dickenson Road Jn. except BMTC Buses rest all type of vehicles parking banned.
> St. Marks Road from SBI Circle to Ashirvaadam Circle.
> Museum Road from MG Road to St. Marks Road and Residency Road.
> Kasturba Road from Queen's Circle to Hudson Circle and Malya Road from Siddalingaiah circle to RRMR junction.
> Cubbon Park inside King's road, in-front press club and Bala Bhavan NO Parking.
> Queen's Circle to Lavelle road Grant junction.
PARKING ALLOWED IN THE FOLLOWING PLACE:
> St. Joseph Indian High School Ground and UB City.
> KSCA members can park their vehicle in St. Mark Cathedral Church compound and Bowring Institute.
> Shivaji Nagar Bus stand 1st floor parking place.
GATE 1 to 9 is o Queen's Road
GATE 12 to 17 is on Cubbon Road
GATE 18 to 21 is on Link Road.",57,4,7
147207215344994_851740218225020,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-04-29T07:20:45+0000,"For real time public transport schedules, download Ridlr http://app.appsflyer.com/com.ridlr?pid=Facebook&c=BTP
or visit http://www.ridlr.in/ , follow us on Facebook: https://www.facebook.com/pages/Ridlr/1535944633304767",22,2,4
147207215344994_851734178225624,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-04-29T07:08:53+0000,"Carpool with verified users and help reduce traffic in Bangalore roads. 
Android app: goo.gl/keaor0 
iOS app: goo.gl/DR1a6P
Website: www.poolcircle.com",43,1,6
147207215344994_851730474892661,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-04-29T06:58:53+0000,"Face book complaint of  Arijit Chatterjee:
Sir, we have already instructed silk board sector officers and staff to book FTVR cases against erring BMTC drivers and they are doing the same, also we are regualting and instructing them to park on service road only not obstructing the traffic. also we have requested BMTC officer to post sarathy officers who regulate and take action accordingly. definitely we will take action sir.
- PI Madivala Traffic.",105,4,4
147207215344994_851727814892927,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-04-29T06:56:09+0000,"Website: www.letsdrivealong.com
Play store link : https://play.google.com/store/apps/details?id=com.spantad.LDA
@letsdrivealong #carpooling",246,24,105
147207215344994_851691851563190,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-04-29T04:45:47+0000,"IPL T-20 match on TODAY :
TRAFFIC RESTRICTIONS AROUND CHINNASWAMY CRICKET STADIUM:
Parking restriction from 1400 to 2330 hrs:
> Queen's Road between CTO and Queen's circle both side.
> MG Road Anil Kumble Circle to Queen's Circle both side.
> Link road from MG Road to Cubbon Road.
> Raj Bhavan road,T Chowdaiah Road and Race Course Road.
> Central Street both sides.
> Cubbon Road from BRV Circle to Dickenson Road Junction
both sides of the road.
> Cubbon Road Kmaraj Road Jn. to dickenson Road Jn. except BMTC Buses rest all type of vehicles parking banned.
> St. Marks Road from SBI Circle to Ashirvaadam Circle.
> Museum Road from MG Road to St. Marks Road and Residency Road.
> Kasturba Road from Queen's Circle to Hudson Circle and Malya Road from Siddalingaiah circle to RRMRjunction.
> Cubbon Park inside King's road, infront press club and Bala Bhavan NO Parking.
> Queen's Circle to Lavelle road Grant junction.
PARKING ALLOWED IN THE FOLLOWING PLACE:
> St. Joseph Indian High School Ground and UB City.
> KSCA members can park their vehicle in St. Mark Cathedra Chruch compound and Bowring Institute.
> Shivaji Nagar Bus stand 1st floor parking place.
GATE 1 to 9 is o Queen's Road
GATE 12 to 17 is on Cubbon Road
GATE 18 to 21 is on Link Road.",67,4,8
147207215344994_851661941566181,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-04-29T03:08:28+0000,BMTC Bus off road atop Marathalli bridge causing slow moving traffic towards Kundalahalli.,59,2,3
147207215344994_851660761566299,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-04-29T03:04:08+0000,"GOOD MORNING.SAFE DRIVE IS THE BEST DRIVE,SAFE DRIVE ALLOWS YOU TO BE ALIVE.
ಶುಭೋದಯ ಬೆಂಗಳೂರು. ಸುರಕ್ಷಿತ ಚಾಲನೆ ಅತ್ಯುತ್ತಮ ಚಾಲನೆ,ಸುರಕ್ಷಿತ ಚಾಲನೆಯು ನಿಮ್ಮನ್ನು ಜೀವಂತವಾಗಿರಿಸಲು ಒಂದು ಕಾರಣ.",163,2,9
147207215344994_851660761566299,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-04-29T03:04:08+0000,"GOOD MORNING.SAFE DRIVE IS THE BEST DRIVE,SAFE DRIVE ALLOWS YOU TO BE ALIVE.
ಶುಭೋದಯ ಬೆಂಗಳೂರು. ಸುರಕ್ಷಿತ ಚಾಲನೆ ಅತ್ಯುತ್ತಮ ಚಾಲನೆ,ಸುರಕ್ಷಿತ ಚಾಲನೆಯು ನಿಮ್ಮನ್ನು ಜೀವಂತವಾಗಿರಿಸಲು ಒಂದು ಕಾರಣ.",163,2,9
147207215344994_851352168263825,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-04-28T12:26:50+0000,"Dear Friends, 
Chances of drizzling/ raining in all part of the Bengaluru city till late night. Do not park your vehicles under the tree. Use wipers & indicators without fail. Plan your journey accordingly. Call 103 - traffic helpline, for assistance. 
Plz report if its raining in your area. Will help other commuters to get alert.",236,4,33
147207215344994_851352168263825,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-04-28T12:26:50+0000,"Dear Friends, 
Chances of drizzling/ raining in all part of the Bengaluru city till late night. Do not park your vehicles under the tree. Use wipers & indicators without fail. Plan your journey accordingly. Call 103 - traffic helpline, for assistance. 
Plz report if its raining in your area. Will help other commuters to get alert.",236,4,33
147207215344994_851329788266063,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-04-28T12:18:05+0000,,8,0,6
147207215344994_851316821600693,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-04-28T10:42:10+0000,"ENDORSEMENT FROM ADUGODI TRAFFIC INSPECTOR ON FB POST: 
Posted By: Mr.Ashwin Nagaraja
Post details: The road near Asia Pacific World School, Jakkasandra Extension has been made one way, and also a ""no right turn"" sign board has also been put up at the Sarjapura Main road. Still most of the vehicles are violating both the sign boards, blocking the vehicles in the Sarjapura main road moving towards Agara.

Reply:
Median near Asia paicific school is closed with barricade to prevent right turn however we requested BBMP to close the median permanently,
Thank you 

POLICE INSPECTOR,
ADUGODI TRAFFIC POLICE STATION,
BANGALORE.",57,10,4
147207215344994_851311491601226,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-04-28T10:28:50+0000,"This App details is for your information & reference. 
* Message from iPunch app developer team: 
Now get iPunch mobile app from goo.gl/UqechV and report traffic violations to Bangalore Traffic Police.",326,35,129
147207215344994_851311218267920,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-04-28T10:27:39+0000,"ENDORSEMENT FROM HULIMAVU TRAFFIC INSPECTOR ON FB POST: 
Posted By: Ms.Vidya Lohit 
Post details: traffic choas at 24th Main, JP Nagar under the jurisdiction of Hulimavu Traffic PS.

REPLY: 
In this regard it is submitted that due to the demolition drive undertaken on Puttenahalli main road, the traffic had to be diverted towards 24th main and this had resulted in slow movement of traffic on this stretch.  how ever, presently normal traffic movement on puttenahalli main has been restored and traffic flow is normal.  A lady homeguard will be positioned at the said road everyday.

Thanking you,

    With regards,
                                                                       Police Inspector,
                                                                       Hulimavu Tr PS,
                                                                           Bangalore.",30,1,1
147207215344994_851214624944246,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-04-28T06:19:42+0000,"ಪ್ರತಿಭಟನಾ ಮೆರವಣಿಗೆ ಇರುವುದರಿಂದ ಸಂಗೊಳ್ಳಿ ರಾಯಣ್ಣ ಸರ್ಕಲ್, ಆನಂದರಾವ್ ಸರ್ಕಲ್, ಶೇಷಾದ್ರಿ ರಸ್ತೆ, ಫ್ರೀಡಂ ಪಾರ್ಕ್ ರಸ್ತೆ ಗಳಲ್ಲಿ ಸಂಚಾರ ನಿದಾನವಾಗುವ ಸಾದ್ಯತೆ ಇರುತ್ತದೆ.
Avoid City railway station road, Sangolli rayanna circle, Anand rao circle, Sheshadri road and Freedom park area due to Procession.",155,4,4
147207215344994_851198771612498,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-04-28T05:22:22+0000,"ಪ್ರತಿಭಟನಾ ಮೆರವಣಿಗೆ ಇರುವುದರಿಂದ ಸಂಗೊಳ್ಳಿ ರಾಯಣ್ಣ ಸರ್ಕಲ್, ಆನಂದರಾವ್ ಸರ್ಕಲ್, ಶೇಷಾದ್ರಿ ರಸ್ತೆ, ಫ್ರೀಡಂ ಪಾರ್ಕ್ ರಸ್ತೆ ಗಳಲ್ಲಿ ಸಂಚಾರ ನಿದಾನವಾಗುವ ಸಾದ್ಯತೆ ಇರುತ್ತದೆ.
Avoid Sangolli rayanna circle, Anand rao circle, Sheshadri road and Freedom park area due to Procession.",29,0,7
147207215344994_851197911612584,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-04-28T05:19:05+0000,,45,1,13
147207215344994_851153331617042,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-04-28T02:52:16+0000,"ಶುಭೋದಯ ಗೆಳೆಯರೇ, ನೀವು ಬೈಕು ಸವಾರಿ ಮಾಡುವಾಗ ಹೆಲ್ಮೆಟ್ ಧರಿಸಿ, ಇದು ನಿಮ್ಮ ಜೀವನ ಉಳಿಸಬಲ್ಲದು.
Good Morning Friends, Wear a helmet when you go bike riding, it could save your life.",144,1,65
147207215344994_850856801646695,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-04-27T12:40:06+0000,"Do Not Drive with the influence of Alcohol. 
Drive with the influence of Positive Attitude only. !",178,2,60
147207215344994_850835374982171,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-04-27T11:30:06+0000,"REPLY FROM BANASHANKARI TRAFFIC INSPECTOR ON FB POST
Posted by: Mr. Pramod CV.

REPLY GIVEN:
            Already we have sent requisition to bbmp for  raising the divider level from DG petrol bunk to Indira nursing home junction they didn't take any action to this issue..and we put barricade also how much we have and daily booked the cases against who drives against way and given instructions to sector PSI & ASI as soon as possible we will clear this problem sir.
 With Thanks & Regards,
Police Inspector 
BSK Traffic PS
Bengaluru.
https://www.facebook.com/photo.php?fbid=10205027428700008&set=o.147207215344994&type=3&src=https%3A%2F%2Fscontent.xx.fbcdn.net%2Fhphotos-xpa1%2Ft31.0-8%2F11154802_10205027428700008_8475185663031749714_o.jpg&smallsrc=https%3A%2F%2Fscontent.xx.fbcdn.net%2Fhphotos-xpa1%2Ft31.0-8%2Fq91%2Fs960x960%2F11154802_10205027428700008_8475185663031749714_o.jpg&size=1529%2C2048",31,5,4
147207215344994_850831031649272,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-04-27T11:17:24+0000,"Road users may refer this Carpool site/app. 
Carpool with verified users and help reduce traffic in Bangalore roads. 
Android app: goo.gl/keaor0 
iOS app: goo.gl/DR1a6P
Website: www.poolcircle.com",46,0,14
147207215344994_850752081657167,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-04-27T06:47:18+0000,"Face book complaint by Manoj Jain MJ:
Police Inspector
Pulakeshinagara traffic Police Station
Bangalore.
Respected Sir,
 Sir we are doing the same as you have suggested for us to do, the points which you have asked us to implement, the same points have been instructed by our higher authorities and we are doing the same. Sir I would like to bring to your notice that we Bangalore City Traffic police have also giving training to the Bus drivers we have taken them to Traffic Management Center (TMC) and instructed them to drive safe.
 Thanking You.",67,5,2
